"order_id","order_date","status","fulfilment","sales_channel","ship_service_level","style","sku","category","size","asin","courier_status","quantity","currency","amount","ship_city","ship_state","ship_postal_code","ship_country","b2b"
"406-4348716-4674754","2022-04-26","Shipped - Delivered to Buyer","Merchant","Amazon.in","Standard","JNE3560","JNE3560-KR-L","kurta","L","B08PCW5HD7","Shipped",1,"INR",487,"HISAR","HARYANA","125001.0","IN",FALSE
"402-4893806-0504328","2022-04-26","Shipped - Delivered to Buyer","Merchant","Amazon.in","Standard","SET144","SET144-KR-NP-XXXL","Set","3XL","B0822TZ4S3","Shipped",1,"INR",788,"SOHNA ROAD","HARYANA","122102.0","IN",FALSE
"403-7499262-2596301","2022-04-26","Shipped","Amazon","Amazon.in","Expedited","SET331","SET331-KR-NP-M","Set","M","B09NQ3TN2T","Shipped",1,"INR",597,"BENGALURU","KARNATAKA","560085.0","IN",FALSE
"407-8541687-9479545","2022-04-26","Shipped - Delivered to Buyer","Merchant","Amazon.in","Standard","SET377","SET377-KR-NP-M","Set","M","B09TZV23QS","Shipped",1,"INR",1238,"JODHPUR","RAJASTHAN","342001.0","IN",FALSE
"405-8798943-8721115","2022-04-26","Shipped - Returned to Seller","Merchant","Amazon.in","Standard","JNE3759","JNE3759-KR-M","kurta","M","B099FBDWBY","Shipped",1,"INR",544,"Vemulawada","TELANGANA","505302.0","IN",FALSE
"402-8208073-3633964","2022-04-26","Shipped","Amazon","Amazon.in","Expedited","JNE2270","JNE2270-KR-487-A-XXL","kurta","XXL","B07H7DZXJ5","Shipped",1,"INR",518,"HYDERABAD","TELANGANA","500064.0","IN",FALSE
"405-8713946-1065146","2022-04-26","Shipped","Amazon","Amazon.in","Expedited","JNE3718","JNE3718-KR-XS","kurta","XS","B099NNT4RN","Shipped",1,"INR",406,"Tivim","GOA","403502.0","IN",FALSE
"406-8259340-0489124","2022-04-26","Shipped","Amazon","Amazon.in","Expedited","SET268","SET268-KR-NP-L","Set","L","B08XQ8MCKP","Shipped",1,"INR",788,"GOLAGHAT","ASSAM","785610.0","IN",FALSE
"407-1294753-5962747","2022-04-26","Shipped","Amazon","Amazon.in","Expedited","JNE3613","JNE3613-KR-L","kurta","L","B08XVFSDR2","Shipped",1,"INR",399,"NEW DELHI","DELHI","110019.0","IN",FALSE
"404-3520526-1325941","2022-04-26","Shipped - Delivered to Buyer","Merchant","Amazon.in","Standard","SET349","SET349-KR-NP-XXXL","Set","3XL","B09QJ4FNCN","Shipped",1,"INR",968,"BHOPAL","MADHYA PRADESH","462016.0","IN",FALSE
"407-6491188-6216304","2022-04-26","Shipped - Delivered to Buyer","Merchant","Amazon.in","Standard","JNE3763","JNE3763-KR-XL","kurta","XL","B09K3RC2ZH","Shipped",1,"INR",432,"Eravipuram,Kollam","KERALA","691011.0","IN",FALSE
"406-9048387-4872332","2022-04-26","Shipped","Amazon","Amazon.in","Expedited","JNE3836","JNE3836-KR-XXL","kurta","XXL","B09RKB4VDD","Shipped",1,"INR",635,"KOLKATA","WEST BENGAL","700032.0","IN",FALSE
"403-7043656-6064367","2022-04-26","Shipped","Amazon","Amazon.in","Expedited","JNE3373","JNE3373-KR-XXXL","kurta","3XL","B082W7MZVQ","Shipped",1,"INR",376,"Rajkot","Gujarat","360004.0","IN",FALSE
